t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
"2025-06-07","Banana - Green","1102","Udumalpet","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3800","3800"
"2025-06-07","Banana - Green","10148","Pollachi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-06-07","Banana - Green","10149","Mettupalayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3500","4000","4000"
"2025-06-07","Banana - Green","10150","Kurichi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4200","4500","4500"
"2025-06-07","Banana - Green","10151","Sulur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4500","4800","4800"
"2025-06-07","Banana - Green","10153","Sundarapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4000","4500","4500"
"2025-06-07","Banana - Green","10321","Palladam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-06-07","Banana - Green","10323","Tiruppur (North) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-06-07","Banana - Green","10324","Tiruppur (South) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-06-07","Banana - Green","10325","Dharapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-06-07","Banana - Green","10326","Kangayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-06-06","Banana - Green","10147","Singanallur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4500","4800","4800"
"2025-06-06","Banana - Green","10150","Kurichi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4000","4500","4500"
"2025-06-06","Banana - Green","10149","Mettupalayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3500","4000","4000"
"2025-06-06","Banana - Green","10148","Pollachi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-06-06","Banana - Green","10326","Kangayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-06-06","Banana - Green","10325","Dharapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-06-06","Banana - Green","10324","Tiruppur (South) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-06-06","Banana - Green","10323","Tiruppur (North) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-06-06","Banana - Green","10321","Palladam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-06-06","Banana - Green","10153","Sundarapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4000","4500","4500"
"2025-06-06","Banana - Green","10152","Vadavalli(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4500","4800","4800"
"2025-06-06","Banana - Green","10151","Sulur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4500","4800","4800"
"2025-06-06","Banana - Green","1102","Udumalpet","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3800","3800"
"2025-06-06","Banana - Green","10146","RSPuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4000","4800","4800"
"2025-06-05","Banana - Green","10326","Kangayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2100","2500","2500"
"2025-06-05","Banana - Green","10325","Dharapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-06-05","Banana - Green","10324","Tiruppur (South) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-06-05","Banana - Green","10323","Tiruppur (North) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-06-05","Banana - Green","10321","Palladam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-06-05","Banana - Green","10153","Sundarapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4000","4500","4500"
"2025-06-05","Banana - Green","10152","Vadavalli(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4000","4800","4800"
"2025-06-05","Banana - Green","10151","Sulur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4000","4800","4800"
"2025-06-05","Banana - Green","10150","Kurichi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4500","5000","5000"
"2025-06-05","Banana - Green","10149","Mettupalayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3500","4000","4000"
"2025-06-05","Banana - Green","10148","Pollachi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","500","1000","1000"
"2025-06-05","Banana - Green","10147","Singanallur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4500","4800","4800"
"2025-06-05","Banana - Green","10146","RSPuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4000","4800","4800"
"2025-06-05","Banana - Green","1102","Udumalpet","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3400","3400"
"2025-06-04","Banana - Green","10326","Kangayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","2500","2500"
"2025-06-04","Banana - Green","1102","Udumalpet","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-06-04","Banana - Green","10146","RSPuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4000","4800","4800"
"2025-06-04","Banana - Green","10147","Singanallur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4500","4800","4800"
"2025-06-04","Banana - Green","10148","Pollachi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-06-04","Banana - Green","10149","Mettupalayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3500","4000","4000"
"2025-06-04","Banana - Green","10150","Kurichi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4200","4500","4500"
"2025-06-04","Banana - Green","10151","Sulur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4000","4800","4800"
"2025-06-04","Banana - Green","10152","Vadavalli(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4000","4800","4800"
"2025-06-04","Banana - Green","10153","Sundarapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4000","4500","4500"
"2025-06-04","Banana - Green","10321","Palladam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-06-04","Banana - Green","10323","Tiruppur (North) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-06-04","Banana - Green","10324","Tiruppur (South) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-06-04","Banana - Green","10325","Dharapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-06-03","Banana - Green","1102","Udumalpet","33","Tamil Nadu","632","Coimbatore","Banana - Green","3500","3800","3800"
"2025-06-03","Banana - Green","10326","Kangayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2000","2500","2500"
"2025-06-03","Banana - Green","10325","Dharapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-06-03","Banana - Green","10324","Tiruppur (South) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-06-03","Banana - Green","10323","Tiruppur (North) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-06-03","Banana - Green","10321","Palladam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-06-03","Banana - Green","10153","Sundarapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4000","4500","4500"
"2025-06-03","Banana - Green","10152","Vadavalli(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4200","4600","4600"
"2025-06-03","Banana - Green","10151","Sulur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4000","4600","4600"
"2025-06-03","Banana - Green","10150","Kurichi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4000","4500","4500"
"2025-06-03","Banana - Green","10149","Mettupalayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3500","4000","4000"
"2025-06-03","Banana - Green","10148","Pollachi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-06-03","Banana - Green","10147","Singanallur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4200","4600","4600"
"2025-06-03","Banana - Green","10146","RSPuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3600","4600","4600"
"2025-06-02","Banana - Green","10326","Kangayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2000","2500","2500"
"2025-06-02","Banana - Green","10325","Dharapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-06-02","Banana - Green","10324","Tiruppur (South) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-06-02","Banana - Green","10323","Tiruppur (North) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-06-02","Banana - Green","10321","Palladam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-06-02","Banana - Green","10153","Sundarapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4000","4500","4500"
"2025-06-02","Banana - Green","10152","Vadavalli(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4200","4600","4600"
"2025-06-02","Banana - Green","10151","Sulur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4000","4600","4600"
"2025-06-02","Banana - Green","10150","Kurichi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4000","4500","4500"
"2025-06-02","Banana - Green","10149","Mettupalayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3600","4000","4000"
"2025-06-02","Banana - Green","10148","Pollachi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","1000","1500","1500"
"2025-06-02","Banana - Green","10147","Singanallur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4000","4600","4600"
"2025-06-02","Banana - Green","10146","RSPuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3600","4500","4500"
"2025-06-02","Banana - Green","1102","Udumalpet","33","Tamil Nadu","632","Coimbatore","Banana - Green","3500","3800","3800"
"2025-06-01","Banana - Green","10151","Sulur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4000","4600","4600"
"2025-06-01","Banana - Green","10326","Kangayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2000","2500","2500"
"2025-06-01","Banana - Green","10325","Dharapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-06-01","Banana - Green","10324","Tiruppur (South) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-06-01","Banana - Green","10323","Tiruppur (North) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-06-01","Banana - Green","10321","Palladam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-06-01","Banana - Green","10153","Sundarapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4000","4500","4500"
"2025-06-01","Banana - Green","10152","Vadavalli(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4000","4500","4500"
"2025-06-01","Banana - Green","10150","Kurichi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4000","4500","4500"
"2025-06-01","Banana - Green","10149","Mettupalayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3500","4000","4000"
"2025-06-01","Banana - Green","10148","Pollachi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-06-01","Banana - Green","10147","Singanallur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4000","4600","4600"
"2025-06-01","Banana - Green","10146","RSPuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3600","4500","4500"
"2025-06-01","Banana - Green","1102","Udumalpet","33","Tamil Nadu","632","Coimbatore","Banana - Green","3500","3800","3800"
"2025-05-31","Banana - Green","10326","Kangayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-05-31","Banana - Green","1102","Udumalpet","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3800","3800"
"2025-05-31","Banana - Green","10146","RSPuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3600","4500","4500"
"2025-05-31","Banana - Green","10147","Singanallur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3600","4600","4600"
"2025-05-31","Banana - Green","10148","Pollachi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","1000","1500","1500"
"2025-05-31","Banana - Green","10149","Mettupalayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3500","4000","4000"
"2025-05-31","Banana - Green","10150","Kurichi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4200","4500","4500"
"2025-05-31","Banana - Green","10151","Sulur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4000","4600","4600"
"2025-05-31","Banana - Green","10152","Vadavalli(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4000","4500","4500"
"2025-05-31","Banana - Green","10153","Sundarapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4000","4500","4500"
"2025-05-31","Banana - Green","10321","Palladam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-05-31","Banana - Green","10323","Tiruppur (North) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-05-31","Banana - Green","10324","Tiruppur (South) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-05-31","Banana - Green","10325","Dharapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-05-30","Banana - Green","1102","Udumalpet","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3800","3800"
"2025-05-30","Banana - Green","10326","Kangayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-05-30","Banana - Green","10325","Dharapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-05-30","Banana - Green","10324","Tiruppur (South) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-05-30","Banana - Green","10323","Tiruppur (North) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-05-30","Banana - Green","10321","Palladam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3200","3200"
"2025-05-30","Banana - Green","10153","Sundarapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4200","4500","4500"
"2025-05-30","Banana - Green","10152","Vadavalli(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4000","4500","4500"
"2025-05-30","Banana - Green","10151","Sulur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4200","4600","4600"
"2025-05-30","Banana - Green","10150","Kurichi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4000","4400","4400"
"2025-05-30","Banana - Green","10149","Mettupalayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3600","4000","4000"
"2025-05-30","Banana - Green","10148","Pollachi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-05-30","Banana - Green","10147","Singanallur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4200","4600","4600"
"2025-05-30","Banana - Green","10146","RSPuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3600","4500","4500"
"2025-05-29","Banana - Green","10326","Kangayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2700","3000","3000"
"2025-05-29","Banana - Green","10324","Tiruppur (South) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-05-29","Banana - Green","10323","Tiruppur (North) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-05-29","Banana - Green","10321","Palladam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-05-29","Banana - Green","10153","Sundarapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4000","4400","4400"
"2025-05-29","Banana - Green","10152","Vadavalli(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3600","4400","4400"
"2025-05-29","Banana - Green","10151","Sulur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4000","4400","4400"
"2025-05-29","Banana - Green","1102","Udumalpet","33","Tamil Nadu","632","Coimbatore","Banana - Green","3500","3800","3800"
"2025-05-29","Banana - Green","10150","Kurichi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3500","4000","4000"
"2025-05-29","Banana - Green","10149","Mettupalayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3500","4000","4000"
"2025-05-29","Banana - Green","10148","Pollachi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-05-29","Banana - Green","10147","Singanallur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4000","4400","4400"
"2025-05-29","Banana - Green","10146","RSPuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3600","4400","4400"
"2025-05-29","Banana - Green","10325","Dharapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-05-28","Banana - Green","10146","RSPuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3600","4400","4400"
"2025-05-28","Banana - Green","1102","Udumalpet","33","Tamil Nadu","632","Coimbatore","Banana - Green","3200","3800","3800"
"2025-05-28","Banana - Green","10326","Kangayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-05-28","Banana - Green","10325","Dharapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-05-28","Banana - Green","10324","Tiruppur (South) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-05-28","Banana - Green","10323","Tiruppur (North) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-05-28","Banana - Green","10321","Palladam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-05-28","Banana - Green","10153","Sundarapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3500","4000","4000"
"2025-05-28","Banana - Green","10152","Vadavalli(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3600","4400","4400"
"2025-05-28","Banana - Green","10151","Sulur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3600","4400","4400"
"2025-05-28","Banana - Green","10150","Kurichi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3500","4000","4000"
"2025-05-28","Banana - Green","10149","Mettupalayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3500","4000","4000"
"2025-05-28","Banana - Green","10148","Pollachi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-05-28","Banana - Green","10147","Singanallur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4000","4400","4400"
"2025-05-27","Banana - Green","10326","Kangayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-05-27","Banana - Green","1102","Udumalpet","33","Tamil Nadu","632","Coimbatore","Banana - Green","3500","3800","3800"
"2025-05-27","Banana - Green","10325","Dharapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-05-27","Banana - Green","10324","Tiruppur (South) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-05-27","Banana - Green","10323","Tiruppur (North) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-05-27","Banana - Green","10321","Palladam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-05-27","Banana - Green","10153","Sundarapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3500","4000","4000"
"2025-05-27","Banana - Green","10152","Vadavalli(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4200","4600","4600"
"2025-05-27","Banana - Green","10151","Sulur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3600","4400","4400"
"2025-05-27","Banana - Green","10150","Kurichi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3500","4000","4000"
"2025-05-27","Banana - Green","10149","Mettupalayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3600","4000","4000"
"2025-05-27","Banana - Green","10148","Pollachi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-05-27","Banana - Green","10147","Singanallur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4000","4400","4400"
"2025-05-27","Banana - Green","10146","RSPuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3600","4400","4400"
"2025-05-26","Banana - Green","10153","Sundarapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3500","4000","4000"
"2025-05-26","Banana - Green","1102","Udumalpet","33","Tamil Nadu","632","Coimbatore","Banana - Green","3500","3800","3800"
"2025-05-26","Banana - Green","10146","RSPuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3600","4400","4400"
"2025-05-26","Banana - Green","10147","Singanallur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4000","4400","4400"
"2025-05-26","Banana - Green","10148","Pollachi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-05-26","Banana - Green","10149","Mettupalayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3600","4000","4000"
"2025-05-26","Banana - Green","10150","Kurichi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3500","4000","4000"
"2025-05-26","Banana - Green","10152","Vadavalli(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4200","4600","4600"
"2025-05-26","Banana - Green","10321","Palladam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-05-26","Banana - Green","10323","Tiruppur (North) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-05-26","Banana - Green","10324","Tiruppur (South) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-05-26","Banana - Green","10325","Dharapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-05-26","Banana - Green","10326","Kangayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-05-25","Banana - Green","1102","Udumalpet","33","Tamil Nadu","632","Coimbatore","Banana - Green","3500","3800","3800"
"2025-05-25","Banana - Green","10325","Dharapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-05-25","Banana - Green","10324","Tiruppur (South) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-05-25","Banana - Green","10323","Tiruppur (North) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3000","3500","3500"
"2025-05-25","Banana - Green","10326","Kangayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-05-25","Banana - Green","10321","Palladam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","2500","3000","3000"
"2025-05-25","Banana - Green","10153","Sundarapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4000","4500","4500"
"2025-05-25","Banana - Green","10152","Vadavalli(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","4200","4600","4600"
"2025-05-25","Banana - Green","10151","Sulur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","3600","4400","4400"
"2025-05-25","Banana - Green","10150","Kurichi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Banana - Green","1200","1500","1500"
